,latitude,longitude,winery,province,country
282,-32.5891202,19.0118251,Cederberg,South Africa,South Africa
283,47.5532402,1.0105289,Clos du Gaimont,Loire Valley,France
284,-34.401456,19.216718,Southern Right,Hemel en Aarde,South Africa
285,-35.1449319,140.8668586,One Chain,South Australia,Australia
286,43.5160925,11.3803418,Volpaia,Tuscany,Italy
287,47.2615681,4.9814555,Derey Frères,Burgundy,France
288,46.0059786,-118.3833224,Beresan,Washington,US
289,43.5192189,11.0608582,Fontaleoni,Tuscany,Italy
290,43.5246666,5.4508147,Hecht & Bannier,Languedoc-Roussillon,France
291,37.7957407,-122.4031907,Verotto,California,US
292,46.021063,13.412903,Torre Rosazza,Northeastern Italy,Italy
293,37.7547857,26.9777701,Kourtaki,Samos,Greece
294,-33.5425438,18.818652,A.A. Badenhorst Family Wines,Coastal Region,South Africa
295,43.2510815,5.636380099999999,Château de Roquefort,Provence,France
296,-29.1304585,-67.55426709999999,Santa Florentina,Other,Argentina
297,36.6952799,-119.63694,Wolff,California,US
298,47.1121651,4.9365174,Domaine de la Vougeraie,Burgundy,France
299,34.0645922,-118.3758053,Brazin,California,US
300,46.227638,2.213749,Laleure-Piot,Burgundy,France
301,43.0632759,11.482924,Podere Canalino,Tuscany,Italy
302,43.459359,11.254527,Gagliole,Tuscany,Italy
303,41.0265469,14.8824706,Terredora,Southern Italy,Italy
304,-32.8047737,-68.77237319999999,Recuerdo,Mendoza Province,Argentina
305,38.9086128,-78.0776983,Linden,Virginia,US
306,40.46366700000001,-3.74922,Vivanco,Northern Spain,Spain
307,36.7206484,-4.4219668,Hidalgo,Andalucia,Spain
308,34.031389,-118.334861,Marilyn,California,US
309,47.2691816,4.987538799999999,Domaine Collotte,Burgundy,France
310,46.227638,2.213749,Clos du Canton des Ormeaux,Bordeaux,France
311,45.1573848,-0.7392487999999999,Château Langoa Barton,Bordeaux,France
312,49.7742072,6.7235336,Von Beulwitz,Mosel-Saar-Ruwer,Germany
313,44.05752649999999,4.831125399999999,Domaine Jérôme Gradassi,Rhône Valley,France
314,45.1,15.2000001,Bibich,North Dalmatia,Croatia
315,45.9781105,13.4431742,Valentino Butussi,Northeastern Italy,Italy
316,47.46564180000001,-122.3353257,E. B. Foote,Washington,US
317,39.3075747,-8.684709999999999,Quinta da Ribeirinha,Tejo,Portugal
318,48.420187,15.618455,Winzer Krems,Niederösterreich,Austria
319,43.6015709,11.2851799,Castello di Verrazzano,Tuscany,Italy
320,49.92366699999999,7.069659000000001,Dr. Loosen,Mosel,Germany
321,-33.8624756,151.2093929,Bulletin Place,South Australia,Australia
322,36.778261,-119.4179324,ecoVINO,California,US
323,-33.0347975,-68.921787,Fabre Montmayou,Other,Argentina
324,41.87194,12.56738,Marchesi Antinori,Central Italy,Italy
325,34.1695759,-118.9591622,Angeline,California,US
326,-33.61315740000001,-71.4501843,Undurraga,Leyda Valley,Chile
327,-33.0943589,-68.9290256,Ruca Malen,Mendoza Province,Argentina
328,38.25990669999999,-122.4398346,Kutch,California,US
329,43.7710513,11.2486208,Casale del Duccio,Tuscany,Italy
330,41.4048477,-4.9594008,Palacio de Bornos,Northern Spain,Spain
